"Berlin" (52.5167, 13.3833) 3644826
"Hamburg" (53.5500, 10.0000) 1841179
"Munich" (48.1372, 11.5755) 1471508
"Cologne" (50.9422, 6.9578) 1085664
"Frankfurt" (50.1136, 8.6797) 753056
"Bremen" (53.1153, 8.7975) 724909
"Dusseldorf" (51.2311, 6.7724) 645923
"Stuttgart" (48.7761, 9.1775) 634830
"Leipzig" (51.3333, 12.3833) 593197
"Dortmund" (51.5139, 7.4653) 587010
"Essen" (51.4508, 7.0131) 583109
"Dresden" (51.0500, 13.7400) 556549
"Hannover" (52.3744, 9.7386) 538068
"Nuremberg" (49.4539, 11.0775) 518365
"Duisburg" (51.4322, 6.7611) 498590
"Bochum" (51.4833, 7.2167) 364628
"Wuppertal" (51.2667, 7.1833) 354382
"Bielefeld" (52.0167, 8.5333) 333786
"Bonn" (50.7339, 7.0997) 327258
"Munster" (51.9625, 7.6256) 314319
"Karlsruhe" (49.0167, 8.4000) 313092
"Mannheim" (49.4878, 8.4661) 309370
"Augsburg" (48.3717, 10.8983) 295135
"Kassel" (51.3166, 9.4912) 289924
"Wiesbaden" (50.0825, 8.2400) 278342
"Monchengladbach" (51.2000, 6.4333) 261454
"Gelsenkirchen" (51.5167, 7.1000) 260654
"Braunschweig" (52.2692, 10.5211) 248292
"Aachen" (50.7762, 6.0838) 247380
"Kiel" (54.3233, 10.1394) 246794
"Chemnitz" (50.8333, 12.9167) 245403
"Halle" (51.4828, 11.9697) 239257
"Magdeburg" (52.1278, 11.6292) 238697
"Freiburg im Breisgau" (47.9947, 7.8497) 230241
"Krefeld" (51.3333, 6.5667) 227020
"Mainz" (50.0000, 8.2667) 217118
"Lubeck" (53.8697, 10.6864) 216530
"Oberhausen" (51.4699, 6.8514) 210829
"Rostock" (54.0833, 12.1333) 208886
"Erfurt" (50.9787, 11.0328) 203254
"Hagen" (51.3594, 7.4750) 188814
"Potsdam" (52.4000, 13.0667) 182219
"Saarbrucken" (49.2333, 7.0000) 180741
"Hamm" (51.6667, 7.8167) 179111
"Ludwigshafen" (49.4811, 8.4353) 172253
"Mulheim" (51.4275, 6.8825) 170880
"Oldenburg" (53.1439, 8.2139) 168210
"Osnabruck" (52.2789, 8.0431) 164748
"Leverkusen" (51.0333, 6.9833) 163838
"Heidelberg" (49.4122, 8.7100) 160355
"Solingen" (51.1667, 7.0833) 159360
"Darmstadt" (49.8667, 8.6500) 159207
"Herne" (51.5426, 7.2190) 156374
"Neuss" (51.2003, 6.6939) 153796
"Regensburg" (49.0167, 12.0833) 152610
"Paderborn" (51.7167, 8.7667) 150580
"Ingolstadt" (48.7636, 11.4261) 136981
"Wurzburg" (49.7944, 9.9294) 127880
"Furth" (49.4783, 10.9903) 127748
"Ulm" (48.3984, 9.9916) 126329
"Heilbronn" (49.1404, 9.2180) 125960
"Pforzheim" (48.8950, 8.7050) 125542
"Wolfsburg" (52.4231, 10.7872) 124151
"Gottingen" (51.5339, 9.9356) 119801
"Bottrop" (51.5232, 6.9253) 117383
"Reutlingen" (48.4833, 9.2167) 115966
"Koblenz" (50.3597, 7.5978) 114024
"Bremerhaven" (53.5500, 8.5833) 113634
"Recklinghausen" (51.6167, 7.2000) 112267
"Bergisch Gladbach" (50.9917, 7.1367) 111966
"Erlangen" (49.5964, 11.0044) 111962
"Jena" (50.9272, 11.5864) 111407
"Remscheid" (51.1802, 7.1872) 110994
"Trier" (49.7567, 6.6414) 110636
"Salzgitter" (52.1503, 10.3593) 104948
"Moers" (51.4592, 6.6197) 103725
"Siegen" (50.8756, 8.0167) 102836
"Hildesheim" (52.1500, 9.9500) 101990
"Cottbus" (51.7606, 14.3342) 100219
"Gutersloh" (51.9000, 8.3833) 100194
"Kaiserslautern" (49.4447, 7.7689) 100030
"Witten" (51.4333, 7.3333) 96563
"Hanau" (50.1328, 8.9169) 96023
"Schwerin" (53.6333, 11.4167) 95818
"Gera" (50.8782, 12.0824) 94152
"Esslingen" (48.7406, 9.3108) 93542
"Ludwigsburg" (48.8975, 9.1919) 93499
"Iserlohn" (51.3833, 7.6667) 92666
"Duren" (50.8000, 6.4833) 90733
"Tubingen" (48.5200, 9.0556) 90546
"Flensburg" (54.7819, 9.4367) 90164
"Zwickau" (50.7189, 12.4961) 89540
"Gießen" (50.5833, 8.6667) 88546
"Ratingen" (51.3000, 6.8500) 87297
"Lunen" (51.6167, 7.5167) 86348
"Villingen-Schwenningen" (48.0603, 8.4586) 85181
"Konstanz" (47.6633, 9.1753) 84760
"Marl" (51.6667, 7.1167) 83941
"Worms" (49.6319, 8.3653) 83330
"Velbert" (51.3400, 7.0416) 81984
"Minden" (52.2883, 8.9167) 81682
"Dessau-Roßlau" (51.8333, 12.2333) 81237
"Neumunster" (54.0714, 9.9900) 79487
"Norderstedt" (53.7064, 10.0103) 79159
"Delmenhorst" (53.0506, 8.6317) 77607
"Bamberg" (49.8917, 10.8917) 77592
"Viersen" (51.2556, 6.3917) 76905
"Marburg" (50.8167, 8.7667) 76851
"Rheine" (52.2833, 7.4333) 76107
"Wilhelmshaven" (53.5167, 8.1333) 76097
"Gladbeck" (51.5713, 6.9827) 75687
