"Moscow" (55.7558, 37.6178) 17125000
"Saint Petersburg" (59.9500, 30.3167) 5351935
"Novosibirsk" (55.0333, 82.9167) 1602915
"Yekaterinburg" (56.8356, 60.6128) 1468833
"Nizhniy Novgorod" (56.3269, 44.0075) 1264075
"Kazan" (55.7908, 49.1144) 1243500
"Chelyabinsk" (55.1500, 61.4000) 1202371
"Omsk" (54.9667, 73.3833) 1178391
"Samara" (53.1833, 50.1167) 1169719
"Rostov" (47.2333, 39.7167) 1125299
"Ufa" (54.7333, 55.9667) 1115560
"Krasnoyarsk" (56.0167, 92.8667) 1083865
"Perm" (58.0139, 56.2489) 1048005
"Voronezh" (51.6717, 39.2106) 1047549
"Volgograd" (48.7086, 44.5147) 1015586
"Krasnodar" (45.0333, 38.9833) 881476
"Saratov" (51.5333, 46.0000) 845300
"Tyumen" (57.1500, 65.5333) 744554
"Tolyatti" (53.5167, 49.4167) 707408
"Izhevsk" (56.8500, 53.2167) 646277
"Barnaul" (53.3567, 83.7872) 633301
"Ulyanovsk" (54.3167, 48.3667) 624518
"Irkutsk" (52.2833, 104.3000) 623736
"Khabarovsk" (48.4833, 135.0667) 616242
"Yaroslavl" (57.6167, 39.8500) 608079
"Vladivostok" (43.1167, 131.9000) 606589
"Makhachkala" (42.9833, 47.4833) 592976
"Tomsk" (56.4886, 84.9522) 572740
"Orenburg" (51.7667, 55.1000) 564443
"Kemerovo" (55.3333, 86.0667) 556920
"Novokuznetsk" (53.7500, 87.1167) 552105
"Ryazan" (54.6167, 39.7167) 537622
"Astrakhan" (46.3333, 48.0167) 532504
"Naberezhnyye Chelny" (55.7000, 52.3333) 529797
"Penza" (53.2000, 45.0000) 523726
"Lipetsk" (52.6167, 39.6000) 510439
"Kirov" (58.6000, 49.6500) 501468
"Cheboksary" (56.1333, 47.2500) 489498
"Tula" (54.2000, 37.6167) 485221
"Kaliningrad" (54.7167, 20.5000) 475056
"Balashikha" (55.8000, 37.9500) 450771
"Kursk" (51.7372, 36.1872) 449063
"Stavropol" (45.0500, 41.9833) 433577
"Ulan-Ude" (51.8272, 107.6064) 431922
"Tver" (56.8578, 35.9219) 419363
"Magnitogorsk" (53.3833, 59.0333) 418241
"Sochi" (43.5853, 39.7203) 411524
"Ivanovo" (57.0000, 41.0000) 406933
"Bryansk" (53.2500, 34.3667) 406553
"Belgorod" (50.6000, 36.6000) 391135
"Surgut" (61.2500, 73.4333) 360590
"Vladimir" (56.1286, 40.4058) 356168
"Nizhniy Tagil" (57.9167, 59.9667) 355693
"Arkhangelsk" (64.5500, 40.5333) 351488
"Chita" (52.0333, 113.5000) 347088
"Kaluga" (54.5333, 36.2667) 341892
"Smolensk" (54.7828, 32.0453) 329853
"Volzhskiy" (48.7833, 44.7667) 326055
"Kurgan" (55.4408, 65.3411) 322042
"Cherepovets" (59.1333, 37.9167) 318856
"Saransk" (54.1833, 45.1833) 314789
"Vologda" (59.2167, 39.9000) 313012
"Orël" (52.9686, 36.0694) 311625
"Yakutsk" (62.0272, 129.7319) 307911
"Vladikavkaz" (43.0400, 44.6775) 306978
